Type,SKU,Name,Published,"Regular price",Categories,"Short description",Parent,"Attribute 1 name","Attribute 1 value(s)"
variable,RQ-HUM-AIOCREAM,"All-in-One Intensive Skin Treatment & Moisturizer",1,29.95,"Women's Skincare > Therapeutic Skin Care","Manuka honey daily moisture support",,,
variation,RQ-HUM-AIOCREAM-2OZ,"All-in-One Intensive Skin Treatment & Moisturizer",1,29.95,,,RQ-HUM-AIOCREAM,Size,2oz
variation,RQ-HUM-AIOCREAM-4OZ,"All-in-One Intensive Skin Treatment & Moisturizer",1,39.95,,,RQ-HUM-AIOCREAM,Size,4oz
variation,RQ-HUM-AIOCREAM-8OZ,"All-in-One Intensive Skin Treatment & Moisturizer",1,59.95,,,RQ-HUM-AIOCREAM,Size,8oz
simple,RQ-HUM-WASH,"Women's Restoring Face & Body Wash",1,39.95,"Women's Skincare > Therapeutic Skin Care","Gentle Manuka honey cleanse",,,
simple,RQ-HUM-SCRUB,"Women's Microdermabrasion Scrub",1,44.95,"Women's Skincare > Therapeutic Skin Care > Anti-Aging Serums","Periodic exfoliation step",,,
simple,RQ-HUM-NIGHTSERUM,"Age-Defying Night Serum",1,69.95,"Women's Skincare > Therapeutic Skin Care > Anti-Aging Serums","Overnight renewal support",,,
variable,RQ-HUM-MOISTURIZER,"Men's Face & Body Moisturizer",1,39.95,"Men's Grooming","Fast-absorbing daily moisture",,,
variation,RQ-HUM-MOISTURIZER-4OZ,"Men's Face & Body Moisturizer",1,39.95,,,RQ-HUM-MOISTURIZER,Size,4oz
variation,RQ-HUM-MOISTURIZER-8OZ,"Men's Face & Body Moisturizer",1,59.95,,,RQ-HUM-MOISTURIZER,Size,8oz
simple,RQ-HUM-MENSWASH,"Men's Face & Body Wash + Shave Cream",1,39.95,"Men's Grooming","Dual-use cleanse and shave prep",,,
simple,RQ-HUM-MENSSERUM,"Men's Anti-Aging Repairing Night Serum",1,69.95,"Men's Grooming > Anti-Aging Serums","Men's premium night step",,,
simple,RQ-HUM-MENSSCRUB,"Men's Microdermabrasion Scrub",1,44.95,"Men's Grooming","Shave prep exfoliation",,,
simple,RQ-HUM-MENSHAMPOO,"Men's Sulfate-Free Shampoo",1,29.95,"Hair & Scalp Care","Scalp comfort cleanse",,,
simple,RQ-HUM-MENSCOND,"Men's Strengthening Conditioner",1,29.95,"Hair & Scalp Care","Cuticle and scalp support",,,
simple,RQ-HUM-SHAMPOO,"Manuka Honey Shampoo",1,29.95,"Hair & Scalp Care","pH-balanced scalp wash",,,
simple,RQ-HUM-CONDITIONER,"Manuka Honey Conditioner",1,29.95,"Hair & Scalp Care","Hydrating hair companion",,,
simple,RQ-HUM-MANUKAHONEY,"UMF Medical Grade Manuka Honey",1,44.95,"Therapeutic Skin Care","Flagship ingredient anchor",,,
simple,RQ-BABY-WASH,"Gentle Baby Face & Body Wash",1,39.95,"Baby & Infant Care","Gentle baby bath routine",,,
variable,RQ-BABY-CREAM,"Soothing Baby Diaper Rash + Skin Care Cream",1,24.95,"Baby & Infant Care","Diaper bag to home sizes",,,
