Product Architecture Map,,,,,,,,,,,,,
"Recommended canonical product families, store placement, merchandising role, and future-state handling. This is the heart of the new catalog structure.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Proposed Product Family,Audience,Current Source Names,Current Sources,Recommended Store Area,Product Type,Strategy Role,Priority,Recommendation,Suggested PDP / Collection Angle,Subscription Fit,Bulk Fit,Bundle Fit,Notes / Guardrails
Pet Skin Treatment Cream,Pet,Pet Skin Treatment for Dogs; Pet Skin Treatment for Cats; Pet Skin Treatment for Dogs & Cats,Both exports,Shop For Pets > Topical Skin Care,Variable parent with 2oz / 4oz / 8oz sizes,Core hero SKU family,High,Keep one canonical product family; use dog/cat/horse problem pages for audience-specific discovery.,"Hot spots, dry itchy skin, cracked paws, irritated skin, Manuka honey topical care",Medium,Strong,Strong,Exact formula/label confirmation needed before dog/cat/horse pages imply identical use instructions.
Horse Skin Care Treatment Cream,Pet / Horse,Horse Skin Care Treatment Cream,Both exports,Shop For Pets > Topical Skin Care or Shop Horses,Variable parent with 4oz / 8oz,Niche authority SKU,Medium,"Horse shoppers search by use case, not by brand; keep visible and connect to Manuka honey education.","Rain rot, sweet itch, wound care support, mane/tail skin comfort",Low,Medium,Strong,Could live under Pet Topical Care with a horse-specific landing page.
UMF Medical Grade Manuka Honey,Human + Pet,UMF Manuka Honey for Dogs & Horses; Manuka Honey (UMF Medical Grade) from New Zealand,Both exports,Learn + Shop > Manuka Honey,Simple product,Ingredient authority anchor,High,This is a trust-builder and education bridge across human and pet lines.,Certified UMF Manuka Honey as flagship ingredient and standalone product,Low,Medium,Strong,Use carefully with claim guardrails and clear intended-use language.
Pet Shampoo,Pet,All-Natural Manuka Honey Pet Shampoo for Dogs; Manuka Honey Pet Shampoo for Dogs,Both exports,Shop For Pets > Coat & Grooming,Simple product,Routine replenishment SKU,High,Pairs naturally with conditioner and skin treatment; strong Amazon visibility signal from channel snapshot.,"Cleanse, soothe, coat support, Manuka honey pet shampoo",Medium,Strong,Strong,Clear pet-only label.
Pet Conditioner,Pet,All-Natural Manuka Honey Pet Conditioner for Dogs; Manuka Honey Pet Conditioner for Dogs,Both exports,Shop For Pets > Coat & Grooming,Simple product,Routine replenishment SKU,High,Natural pairing with shampoo; also supports bundled dog grooming routine.,"Coat softness, detangling, dry coat support",Medium,Strong,Strong,Pair as duo by default.
Pet CBD Oil,Pet CBD,CBD For Dogs; CBD Hemp Oil For Pets; CBD For Pets Natural,Both exports,Shop For Pets > CBD & Calming Oils,Variable parent by strength,Regulated hero SKU,High,"Should be separated from non-CBD pet topical care for age gate, compliance, and customer clarity.","Calm, travel, separation, fireworks, pet wellness support",Strong,Medium,Strong,CBD claims and Amazon/channel restrictions must remain separate from owned-site copy.
CBD-Infused Organic Dog Treats,Pet CBD,CBD-Infused Organic Dog Treats; *NEW* CBD-Infused Organic Dog Treats,Both exports,Shop For Pets > Pet Treats & CBD Treats,Variable parent by MG,Replenishment + bundle SKU,High,Treat format is highly bundle-friendly and supports routine reordering.,"CBD dog treats, calm support, treat routine",Strong,Strong,Strong,Keep CBD dog treats apart from non-CBD diabetic treats.
Diabetic Dog Treats,Pet,Diabetic Dog Treats,Both exports,Shop For Pets > Pet Treats & Diabetic Care,Simple product,Problem/condition SKU,High,Clear high-intent product with strong cross-sell to pet care and multipacks.,Low-glycemic / diabetic-friendly treat positioning if verified,Strong,Strong,Medium,Validate ingredient and claim language before medical-condition copy.
CBD Canine Wellness Combo,Pet CBD,CBD Canine Wellness Combo,Both exports,Bundles & Savings > Pet Bundles,Bundle / variable combo,Prebuilt bundle,High,Already exists as a combo in exports; refine as a clean bundle architecture in the new site.,Pet calm routine by dog size,Strong,Medium,Strong,Use as bridge between treats and oils.
All-in-One Intensive Skin Treatment & Moisturizer,Human / Women,All in One Intensive Skin Treatment and Moisturizer for Women,Both exports,Shop For Humans > Women’s Skincare + Therapeutic Skin Care,Variable parent with 2oz / 4oz / 8oz,Core hero SKU family,High,This is a central human skincare product that can support multiple landing-page angles without duplicating inventory.,"Dry skin, eczema-prone skin, Manuka honey moisturizer, sensitive skin relief",Medium,Strong,Strong,Use one canonical product and separate use-case landing pages.
Age-Defying Night Serum,Human / Women,Anti-Aging Night Serum: Age Defying Anti-Wrinkle Face & Eye Serum,Both exports,Shop For Humans > Women’s Skincare + Anti-Aging Serums,Simple product,Premium margin SKU,High,Strong fit for skincare routine bundles and premium positioning.,"Anti-aging night serum, face and eye serum, mature skin routine",Medium,Medium,Strong,Price differs across exports; owner should verify final price later.
Women's Restoring Face & Body Wash,Human / Women,Restoring Face and Body Wash for Women,Both exports,Shop For Humans > Women’s Skincare,Simple product,Routine cleanser SKU,Medium,Useful starter product for bundle ladders and skincare routines.,"Gentle face and body cleanser, Manuka honey face wash",Medium,Medium,Strong,Works as routine entry point.
Women's Microdermabrasion Scrub,Human / Women,Microdermabrasion Scrub Exfoliate for Women,Both exports,Shop For Humans > Women’s Skincare,Simple product,Routine step SKU,Medium,High fit for skincare regimen bundles and SEO around microdermabrasion scrub.,"Exfoliation, smoother skin, routine step",Low,Medium,Strong,Avoid overuse language; position as periodic use.
Men's Face & Body Moisturizer,Human / Men,Men's Face & Body Moisturizer,Both exports,Shop For Humans > Men's Grooming,Variable parent with 4oz / 8oz,Men's anchor SKU,High,"Men's line should be clear, simple, and routine-based.","Moisturizer, after-shave comfort, dry skin support",Medium,Strong,Strong,Can anchor Men's Routine bundle.
Men's Face & Body Wash + Shave Cream,Human / Men,Face and Body Wash for Men: Doubles as Shave Cream!,Both exports,Shop For Humans > Men's Grooming,Simple product,Men's entry SKU,High,Clear dual-use product that simplifies purchase decision.,"Cleanser + shave cream, gym shower, daily routine",Medium,Medium,Strong,Potentially strong landing page for shaving irritation.
Men's Anti-Aging Night Serum,Human / Men,Men’s Anti Aging Repairing Night Serum,Both exports,Shop For Humans > Men's Grooming,Simple product,Premium men’s SKU,Medium,Completes men’s 3-step routine and improves AOV.,"Men's anti-aging, night repair, face and eye serum",Medium,Medium,Strong,Bundle with wash and moisturizer.
Men's Microdermabrasion Scrub,Human / Men,Microdermabrasion Scrub Exfoliate for Men,Both exports,Shop For Humans > Men's Grooming,Simple product,Routine add-on,Medium,Good add-on for shaving prep and ingrown-hair adjacent education if supported.,"Exfoliation, shaving prep, smoother skin",Low,Medium,Strong,Use in men's grooming kit.
Men's Shampoo,Human / Men,Sulfate Free Mens Shampoo for Thinning Hair - Powerful Anti Dandruff Shampoo,Both exports,Shop For Humans > Hair & Scalp Care,Simple product,Replenishment SKU,Medium,Hair products are natural subscription and 2-pack candidates.,"Sulfate-free shampoo, dry scalp, thinning-hair support",Strong,Strong,Strong,Claim language should be conservative and evidence-backed.
Men's Conditioner,Human / Men,Strengthening Conditioner for Men,Both exports,Shop For Humans > Hair & Scalp Care,Simple product,Replenishment SKU,Medium,Pairs naturally with men's shampoo; duo should be obvious.,"Conditioner, dry scalp, hair strengthening support",Strong,Strong,Strong,Pair as duo by default.
Manuka Honey Shampoo,Human,Manuka Honey Shampoo,Both exports,Shop For Humans > Hair & Scalp Care,Simple product,Replenishment SKU,Medium,Non-men's shampoo supports a general hair care collection and subscribe/save.,"Manuka honey shampoo, pH-balanced, dry scalp support",Strong,Strong,Strong,Could be marketed as unisex or women's depending final brand structure.
Manuka Honey Conditioner,Human,Manuka Honey Conditioner,Both exports,Shop For Humans > Hair & Scalp Care,Simple product,Replenishment SKU,Medium,Natural shampoo/conditioner duo opportunity.,"Hydrating conditioner, Manuka honey hair care",Strong,Strong,Strong,Pair with shampoo.
Gentle Baby Face & Body Wash,Baby,Gentle Baby Face & Body Wash,Both exports,Shop For Humans > Baby & Infant Care,Simple product,Trust-building SKU,High,"Baby category requires calm, clear, parent-friendly product organization.","Gentle wash, sensitive baby skin, bath routine",Medium,Medium,Strong,Use very careful claims and ingredient transparency.
Soothing Baby Diaper Rash + Skin Care Cream,Baby,Soothing Baby Diaper Rash + Skin Care Cream,Both exports,Shop For Humans > Baby & Infant Care,Variable parent with 2oz / 4oz / 8oz,Problem-solver SKU,High,Strong bundle and size-ladder candidate; likely recurring need.,"Diaper rash care, baby skin balm, gentle Manuka support",Strong,Strong,Strong,Confirm regulatory/claims language.
Full Spectrum CBD Oil,Baby / Infant,Gentle Baby Face & Body Wash,Both exports,Shop For Humans > Baby & Infant Care,Variable parent by strength/flavor,Regulated hero SKU,High,Strong subscription and variation architecture candidate; separate CBD taxonomy needed.,"Full spectrum CBD oil, terpene-rich oil, flavor/strength chooser",Strong,Medium,Strong,Age-gate and compliance copy required.
CBD Gummies,Baby / Infant,Soothing Baby Diaper Rash + Skin Care Cream,Both exports,Shop For Humans > Baby & Infant Care,Simple product,Replenishment SKU,High,Gummies are simple to understand and fit subscribe/save and multipacks.,"25mg CBD gummies, wellness routine",Strong,Strong,Strong,Check price mismatch across exports later.
Sleep Gummies,Human CBD,Sleep Gummies - 10mg CBN & 25mg CBD,Both exports,Shop For Humans > CBD & Wellness,Simple product,Problem-solution SKU,High,Clear use case for nightly routine subscription.,"Sleep support, CBN + CBD nighttime gummies",Strong,Strong,Strong,Avoid medical sleep claims.
