Product and Variation Pricing Recommendations,,,,,,,,,,,,,
"Recommended pricing for products, variations, subscriptions, bulk-buy offers, and bundle roles. These are strategy recommendations that still need COGS/margin confirmation.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Product / Offer,Item Type,Audience,Current Price(s) Observed,Recommended Regular Price,Launch / Sale Recommendation,Subscription Recommendation,Bulk / Multipack Recommendation,Bundle Role,Competitor / Market Anchor,Reasoning / Marketing Tactic,Confidence,Source URLs / Notes,Final Check Needed
Pet Skin Treatment Cream,Product family + variations,Pet,"Current exports: 2oz $30, 4oz $40, 8oz $60",2oz $29.95 | 4oz $39.95 | 8oz $59.95,No default sale; use bundle/subscription instead,Subscribe 10% at 45/60/90 days for repeat cases,2-pack 5% | 3-pack 10%; show 8oz as Best Value,Problem-solution kit with shampoo/conditioner,Natural Dog Co 4oz: $28.95 one-time / $24.61 Subscribe & Save; ManukaVet/PAW Manuka wound gel supports premium Manuka positioning,Keep current price ladder because it already works as good-better-best. ResQ should not race mass-market balms to the bottom; the premium angle is Manuka/therapeutic positioning. Use bundles for value instead of cutting the hero price.,High,https://www.amazon.com/Natural-Dog-Company-SKIN-SOOTHER/dp/B07DFQQY8M | https://pureanimalwellbeing.com/products/paw-manuka-wound-gel,Confirm exact jar sizes and landed margin.
Horse Skin Care Treatment Cream,Product family + variations,Pet / Horse,"Current exports: 4oz $40, 8oz $60",4oz $39.95 | 8oz $59.95,No default sale,Low subscription priority; 90-day reminder only,2-pack barn stock-up 5%; 3-pack 10%,Horse care kit with Manuka honey or pet shampoo only if use cases match,ManukaVet and PAW Manuka wound-care pricing supports premium wound/skin care space,"Horse customers buy by use case and size. Keep the same price ladder as pet cream so the product architecture stays simple, then merchandise horse-specific use cases separately.",Medium,https://healthyspot.com/products/manuka-vet-skin-wound-gel | https://pureanimalwellbeing.com/products/paw-manuka-wound-gel,Confirm whether formula/label differs from pet skin treatment.
UMF Medical Grade Manuka Honey,Standalone ingredient product,Human + Pet,Current exports: $44,$44.95,No default sale,Low subscription priority; optional 90-day reminder,2-pack 5% if inventory allows,Ingredient education bundle add-on,"Ingredient authority item, not a commodity honey listing",Keep as a trust-builder. Pricing should support the premium ingredient story rather than compete with grocery honey.,Medium,Internal export pricing + brand positioning,Confirm UMF/MGO certification and pack size.
Pet Shampoo,Product,Pet,Current exports: $30,$29.95,No default sale,Subscribe 10% at 60/90 days,2-pack 5%; shampoo+conditioner duo $54.95,Pet Coat Care Duo / Hot Spot Rescue Kit,Amazon best-seller set shows mass 2-in-1 Manuka options around $9.72; premium organic bundle brands use higher-value routines,Keep premium price but make the shampoo/conditioner duo obvious. The single product is the entry point; the duo is the value path.,High,https://www.amazon.com/Best-Sellers-Dog-Shampoos-Plus-Conditioners/zgbs/pet-supplies/3024209011 | https://www.4-legger.com/collections/bundle-and-save,Confirm bottle size; price per ounce should be visible on PDP.
Pet Conditioner,Product,Pet,Current exports: $30,$29.95,No default sale,Subscribe 10% at 60/90 days,2-pack 5%; shampoo+conditioner duo $54.95,Pet Coat Care Duo / Hot Spot Rescue Kit,4-Legger and TropiClean both merchandise pet grooming as routines/bundles,Match shampoo price for clarity. Pair by default with shampoo; do not make customers hunt for the matching routine.,High,https://www.4-legger.com/collections/bundle-and-save | https://tropiclean.com/collections/bundles,Confirm bottle size and whether conditioner has same COGS/margin as shampoo.
Pet CBD Oil,CBD product family + strengths,Pet CBD,Current exports: 300mg $39 sale $25; 500mg $89; 1000mg $149,300mg $39.95 | 500mg $84.95 | 1000mg $149.95,Only use launch offers if compliance/margin reviewed; avoid permanent deep discounting,"Subscribe 10%, cap at 15% unless margin confirmed; 30/45/60 day frequency",2-bottle stock-up 5%; avoid aggressive CBD discounting until margins known,Canine Calm Starter Kit / CBD Canine Wellness Combo,Honest Paws oils start around $24.95 and use dog-size strengths; pet CBD brands lean heavily on auto-ship and solution pages,"Normalize pricing by strength and keep it consistent across flavors/names. CBD value should be communicated by strength, bottle size, testing, and usage guidance.",High,https://www.honestpaws.com/collections/cbd-for-dogs,"CBD compliance, lab testing, and allowed claims must be reviewed."
CBD-Infused Organic Dog Treats,CBD product + MG variations,Pet CBD,"Current exports: $27 2mg, $32 5mg",$26.95 2mg | $31.95 5mg,No default sale; use subscribe/bulk,Subscribe 10% every 30/45 days,2-pack 8%; 3-pack 12%,CBD Treat + Oil bundle,Honest Paws CBD bites and chews sit around $28-$35 and are positioned by benefit such as Calm/Mobility/Well,"Recommended prices sit right inside current market range. Treats are highly replenishable, so subscription and multipacks should carry the value message.",High,https://www.honestpaws.com/collections/cbd-for-dogs,Confirm count per bag and CBD mg per treat.
Diabetic Dog Treats,Product,Pet,Current exports: $19.99 main / $22.99 pet,$19.95,No default sale,Subscribe 10% every 30/45 days,2-pack $36.95 | 3-pack $52.95,Senior Dog Comfort Bundle / Treat multipacks,Old Dog Cookie diabetic treats listed at $12 for 10oz; Amazon diabetic treat category ranges widely,"Set a clean one-site price and rely on value/ingredients rather than overpricing. This is a repeat treat category, so subscription and 3-pack options matter.",High,https://olddogcookie.com,"Confirm bag size, ingredients, and allowed diabetic/low-glycemic wording."
CBD Canine Wellness Combo,Bundle / variable combo,Pet CBD,"Current exports vary: $106, $119, $121, $179, $181 depending size",$99.95 small | $109.95 medium | $164.95 large,Bundle value built into price,Subscribe 10% if it contains consumable CBD oil/treats,Same-size 2-pack optional after usage data,Core pet CBD bundle,Honest Paws uses solution collections and subscriptions; ecommerce bundling guidance supports complementary bundles to increase cart size,Normalize the existing combo so it no longer feels arbitrary. Price should be roughly 8-12% below the component subtotal.,High,https://www.honestpaws.com/collections/cbd-for-dogs | https://www.shopify.com/in/blog/product-bundling,Requires exact component mapping by dog size.
All-in-One Intensive Skin Treatment & Moisturizer,Product family + variations,Human,"Current exports: 2oz $30, 4oz $40, 8oz $60",2oz $29.95 | 4oz $39.95 | 8oz $59.95,No default sale,Subscribe 10% at 45/60/90 days,2-pack 5%; 8oz Best Value,Women’s Daily Repair / Dry Skin Relief bundle,"Amazon Manuka creams often appear around $16-$35, while premium organic skincare can price much higher","Current ladder is clean and easy to understand. Keep it, then support premium value with before/after stories, ingredient proof, and use-case pages.",High,https://www.amazon.com/manuka-honey-cream/s?k=manuka+honey+cream | https://www.dermstore.com/c/brands/eminence-organic-skin-care,Confirm current package sizes and margin.
